Isolate,Cluster
YJS8031,Wine 3
YJS8032,Triploid group admixed W3/K
YJS8033,NA
YJS8034,Wine 1
YJS8035,Wine 1
YJS8036,NA
YJS8037,Beer
YJS8038,Wine 1
YJS8039,NA
YJS8040,Beer
YJS8041,Wine 1
YJS8042,Beer
YJS8043,NA
YJS8044,Wine 3
YJS8045,Triploid group admixed W3/K
YJS8074,Kombucha
YJS8047,Wine 1
YJS8048,Beer
YJS8049,NA
YJS8050,Wine 3
YJS8051,Wine 3
YJS8052,Wine 3
YJS8053,Wine 3
YJS8054,Wine 3
YJS8055,Wine 3
YJS8056,Wine 3
YJS8057,Wine 3
YJS8058,Wine 3
YJS8059,Wine 3
YJS8060,Wine 3
YJS8061,Wine 3
YJS8062,Wine 3
YJS8063,Triploid group admixed W3/K
YJS8064,NA
YJS8065,NA
YJS8067,Triploid group admixed W3/K
YJS8068,NA
YJS8069,Beer
YJS8070,Admixed
YJS8090,Admixed
YJS8072,NA
YJS8073,Beer
YJS8103,Kombucha
YJS8075,Wine 1
YJS8076,Wine 3
YJS8077,Beer
YJS8078,Beer
YJS8079,Wine 3
YJS8080,Wine 3
YJS8081,Beer
YJS8082,NA
YJS8083,Wine 1
YJS8084,Wine 1
YJS8085,Wine 1
YJS8086,Wine 1
YJS8087,Beer
YJS8088,Beer
YJS8089,Beer
YJS8107,Kombucha
YJS8091,Wine 1
YJS8092,Wine 1
YJS8093,Wine 1
YJS8094,NA
YJS8095,NA
YJS8100,Teq/EtOH
YJS8101,Wine 3
YJS8102,Wine 3
YJS8108,Kombucha
YJS8113,Kombucha
YJS8105,NA
YJS8106,Wine 3
YJS8116,Kombucha
YJS8123,Kombucha
YJS8139,Kombucha
YJS8110,NA
YJS8111,Wine 3
YJS8112,Wine 3
YJS8141,Kombucha
YJS8243,Admixed
YJS8115,Wine 3
YJS8247,Kombucha
YJS8475,Kombucha
YJS8119,Wine 1
YJS8120,Wine 1
YJS8121,Wine 1
YJS8122,Triploid group admixed W3/K
YJS8488,Kombucha
YJS8124,Wine 3
YJS8125,NA
YJS8126,NA
YJS8127,Beer
YJS8128,Beer
YJS8129,Wine 1
YJS8130,NA
YJS8131,Beer
YJS8132,Beer
YJS8133,Beer
YJS8134,Beer
YJS8135,Beer
YJS8136,Beer
YJS8137,Beer
YJS8138,Beer
YJS8615,Kombucha
YJS8140,Wine 3
YJS8621,Kombucha
YJS8142,Wine 3
YJS8143,Beer
YJS8144,Wine 3
YJS8145,Wine 3
YJS8146,Wine 3
YJS8147,Wine 3
YJS8148,Wine 3
YJS8149,Wine 3
YJS8150,Wine 3
YJS8151,Wine 3
YJS8152,Wine 3
YJS8153,Beer
YJS8154,Wine 3
YJS8156,Wine 3
YJS8158,Triploid group admixed W3/K
YJS8159,Wine 3
YJS8161,Beer
YJS8162,Beer
YJS8163,Beer
YJS8165,Beer
YJS8167,Beer
YJS8168,Beer
YJS8170,Beer
YJS8172,Beer
YJS8173,Beer
YJS8174,Beer
YJS8176,Beer
YJS8177,Beer
YJS8179,Beer
YJS8180,Beer
YJS8182,Beer
YJS8183,Beer
YJS8184,Wine 3
YJS8185,NA
YJS8186,Beer
YJS8187,Triploid group admixed W3/K
YJS8189,Beer
YJS8191,Wine 1
YJS8192,Wine 1
YJS8193,NA
YJS8194,Wine 1
YJS8195,Wine 1
YJS8200,Wine 1
YJS8201,Wine 1
YJS8202,Wine 1
YJS8203,Wine 1
YJS8204,Wine 1
YJS8205,Beer
YJS8206,Wine 1
YJS8207,Wine 1
YJS8208,Wine 1
YJS8209,NA
YJS8210,NA
YJS8211,Wine 1
YJS8212,Beer
YJS8213,Wine 1
YJS8214,Wine 1
YJS8216,Wine 1
YJS8217,NA
YJS8218,Wine 1
YJS8219,Wine 1
YJS8220,Wine 1
YJS8221,Wine 1
YJS8222,Beer
YJS8223,Beer
YJS8224,Beer
YJS8225,NA
YJS8226,Beer
YJS8227,Beer
YJS8228,Beer
YJS8229,NA
YJS8230,Beer
YJS8231,Beer
YJS8232,Wine 1
YJS8233,NA
YJS8234,Wine 3
YJS8235,Wine 3
YJS8236,Wine 3
YJS8237,Wine 3
YJS8238,Beer
YJS8239,Beer
YJS8240,Beer
YJS8241,Beer
YJS8242,Beer
YJS8622,Kombucha
YJS8244,Admixed
YJS8245,Wine 3
YJS8246,Wine 3
YJS8623,Kombucha
YJS8248,Beer
YJS8250,Admixed
YJS8251,NA
YJS8252,Admixed
YJS8253,Admixed
YJS8254,NA
YJS8255,Beer
YJS8256,Admixed
YJS8257,Beer
YJS8258,NA
YJS8259,NA
YJS8260,NA
YJS8261,Wine 3
YJS8262,NA
YJS8263,Beer
YJS8264,Wine 3
YJS8265,Wine 3
YJS8266,Admixed
YJS8267,Wine 3
YJS8268,Beer
YJS8269,Beer
YJS8270,Beer
YJS8271,NA
YJS8272,Beer
YJS8273,Beer
YJS8274,Admixed
YJS8275,Wine 3
YJS8276,Wine 3
YJS8277,Admixed
YJS8278,Wine 3
YJS8279,Wine 3
YJS8280,Wine 3
YJS8281,Wine 3
YJS8282,Wine 3
YJS8284,NA
YJS8624,Kombucha
YJS8286,Wine 3
YJS8287,Wine 3
YJS8288,Wine 3
YJS8289,Wine 3
YJS8290,Wine 3
YJS8291,Wine 3
YJS8292,Wine 3
YJS8293,Wine 3
YJS8294,Wine 3
YJS8295,Wine 3
YJS8296,Wine 3
YJS8297,Wine 3
YJS8298,Wine 3
YJS8300,Wine 3
YJS8301,Wine 3
YJS8302,Admixed
YJS8303,NA
YJS8625,Kombucha
YJS8627,Kombucha
YJS8308,Admixed
YJS8310,Admixed
YJS8311,Wine 3
YJS8312,Wine 3
YJS8313,Wine 3
YJS8314,Wine 3
YJS8315,Wine 3
YJS8316,Wine 3
YJS8317,Wine 3
YJS8318,Wine 3
YJS8319,Wine 3
YJS8320,Wine 3
YJS8322,Wine 3
YJS8323,Wine 3
YJS8324,Wine 3
YJS8325,Wine 3
YJS8326,Wine 3
YJS8327,Wine 3
YJS8328,Wine 3
YJS8329,Wine 3
YJS8330,Wine 3
YJS8331,Wine 3
YJS8332,Wine 3
YJS8336,Wine 3
YJS8337,Wine 3
YJS8338,Wine 3
YJS8339,Wine 3
YJS8340,Wine 3
YJS8341,Wine 3
YJS8342,Wine 3
YJS8343,Wine 3
YJS8345,Wine 3
YJS8347,Wine 3
YJS8348,Wine 3
YJS8349,Wine 3
YJS8350,Wine 3
YJS8351,Wine 3
YJS8352,Wine 3
YJS8353,Wine 3
YJS8354,Wine 3
YJS8355,Wine 3
YJS8357,Wine 1
YJS8358,Wine 3
YJS8359,Wine 3
YJS8360,Wine 3
YJS8361,Wine 3
YJS8362,Wine 3
YJS8363,Wine 3
YJS8364,Wine 3
YJS8365,Wine 3
YJS8366,Wine 3
YJS8367,Wine 3
YJS8369,Wine 3
YJS8370,Wine 3
YJS8371,Wine 3
YJS8372,Wine 3
YJS8373,Wine 3
